gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cpm_total_poly_1,cpm_total_poly_2,cpm_total_poly_3,cpm_total_poly_4,cpm_LNCaP_TCT1_80S_S34,cpm_LNCaP_TCT2_80S_S38,cpm_LNCaP_TCT3_80S_S42,cpm_LNCaP_TCT4_80S_S46,raw_total_poly_1,raw_total_poly_2,raw_total_poly_3,raw_total_poly_4,raw_LNCaP_TCT1_80S_S34,raw_LNCaP_TCT2_80S_S38,raw_LNCaP_TCT3_80S_S42,raw_LNCaP_TCT4_80S_S46
DDX43,321.0634594,-0.27277179,0.263769667,0,1,1,5.451052666,3.988151127,6.350200925,4.719597415,2.629529583,3.630125232,2.188405351,3.168159223,749,575,852,309,170,283,155,124
MTO1,1394.353945,-0.218079652,0.174605133,0,1,1,23.3834876,20.93259148,24.03685209,22.16225194,8.739318909,13.40452603,12.35390118,16.40288888,3213,3018,3225,1451,565,1045,875,642
EEF1A1,2421206.833,-4.128682245,0.245060409,-15.53394191,2.04418E-54,4.78305E-51,5049.799878,2969.008584,6078.811822,4484.457602,33914.8373,36733.31418,46434.33304,34348.7735,693866,428063,815588,293605,2192606,2863683,3288843,1344392
SLC17A5,1766.903459,0.629813467,0.286025129,1.076427701,0.281736019,0.65615328,33.60148219,34.3050356,32.92862405,51.35044178,11.66273709,12.25006924,6.664047263,15.15095499,4617,4946,4418,3362,754,955,472,593
CD109,9.880495452,-2.363704291,1.047551524,-1.949093815,0.051284222,0.188037448,0.03638887,0.006935915,0.067079587,0.137464002,0,0.179582167,0.211781163,0.204397369,5,1,9,9,0,14,15,8
COL12A1,0.322915386,0.850980758,3.442990174,0.153660811,0.877877186,,0.007277774,0.02774366,0.007453287,0,0,0,0,0,1,4,1,0,0,0,0,0
COX7A2,14529.35458,0.60348309,0.407607471,0.690750329,0.489722455,0.935580166,274.7214099,391.5809533,217.7328869,334.8164885,121.7626875,130.1714164,41.41027674,70.44044337,37748,56457,29213,21921,7872,10148,2933,2757
TMEM30A,3624.704721,-0.001504875,0.240768335,0,1,1,56.96313647,68.01358252,57.19652805,72.32133903,23.1862638,39.6620043,21.61579737,37.2003212,7827,9806,7674,4735,1499,3092,1531,1456
FILIP1,2.884207648,1.620635265,1.412699801,0.919308667,0.357934146,0.770642121,0.029111096,0.08323098,0.052173012,0.15273778,0.015467821,0.012827298,0.014118744,0,4,12,7,10,1,1,1,0
SENP6,2065.766294,0.862473796,0.188073316,2.874122241,0.004051521,0.024848976,37.82259106,38.48739235,53.17175282,60.88127928,8.275284277,12.19876005,12.72098853,16.78613395,5197,5549,7134,3986,535,951,901,657
MYO6,6890.609204,0.003395401,0.190879206,0,1,1,121.102158,123.1263631,104.9721007,134.4397943,39.11811951,68.4208056,61.86833709,63.00548907,16640,17752,14084,8802,2529,5334,4382,2466
IMPG1,13.27380232,-1.816295001,0.926394996,-1.613099069,0.106722986,0.329842352,0.029111096,0.131782385,0.014906575,0.259654227,0.061871284,0.141100274,0.381206093,0.127748356,4,19,2,17,4,11,27,5
HTR1B,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEI4,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRAK1BP1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIP,1382.189607,-0.361504295,0.23854444,-0.165907031,0.868230114,1,15.88738047,21.57069566,22.52383474,25.81268489,6.960519485,12.31420573,14.99410634,19.62214745,2183,3110,3022,1690,450,960,1062,768
HMGN3,3643.385326,0.00655891,0.19626626,0,1,1,62.50152242,51.74192592,70.90312371,73.74180039,25.05787015,37.43005451,25.42785831,33.06127447,8588,7460,9513,4828,1620,2918,1801,1294
LCA5,193.0256041,-0.111351743,0.282646569,0,1,1,3.253164942,2.524673061,3.085661013,4.29193163,1.268361328,1.770167074,1.171855769,2.606066458,447,364,414,281,82,138,83,102
SH3BGRL2,561.1284811,-1.153997278,0.543670525,-1.530465868,0.125901456,0.374476809,6.688274232,9.578498619,3.190007038,4.108646293,8.723851088,9.787228098,3.233192422,2.171722048,919,1381,428,269,564,763,229,85
ELOVL4,6.124129939,2.393985569,1.089017046,1.902685988,0.057081531,0.204326267,0.189222122,0.11097464,0.216145337,0.213832893,0.015467821,0.025654595,0,0.025549671,26,16,29,14,1,2,0,1
TTK,613.01373,-0.302572193,0.231080191,0,1,1,7.998273537,10.25821829,9.763806587,10.61527574,3.913358733,6.118620974,4.517998144,8.559139837,1099,1479,1310,695,253,477,320,335
BCKDHB,939.0516813,0.678620967,0.290960739,1.225914098,0.220231003,0.556335021,14.93399208,11.02810485,26.64550271,31.41816143,4.918767103,5.695320152,5.520428983,8.175894769,2052,1590,3575,2057,318,444,391,320
IBTK,2417.749092,0.441034158,0.262832749,0.453162946,0.650431412,1,32.96103808,37.87703183,53.41771131,76.59799688,9.89940549,16.72679612,19.1026609,24.98757839,4529,5461,7167,5015,640,1304,1353,978
TPBG,2.063887364,-0.183216055,1.627246405,0,1,1,0.094611061,0.006935915,0.014906575,0.015273778,0.015467821,0.012827298,0.042356233,0,13,1,2,1,1,1,3,0
UBE3D,113.0323062,-0.763700085,0.27457155,-1.608950342,0.1076272,0.33179145,1.24449934,1.144425975,2.03474748,1.527377804,0.959004907,1.051838406,1.185974513,1.609629283,171,165,273,100,62,82,84,63
PGM3,1957.986749,0.021708494,0.250476295,0,1,1,35.51553673,39.72198522,28.95602183,32.8997179,13.93650679,20.26713027,12.66451355,17.57817375,4880,5727,3885,2154,901,1580,897,688
RWDD2A,670.3788356,-0.873397626,0.244201349,-2.258257511,0.02392961,0.103623624,7.452440493,5.576475662,10.83707998,10.0195984,4.872363639,5.913384211,8.118277916,10.83306057,1024,804,1454,656,315,461,575,424
ME1,4359.368132,-0.323837287,0.222055712,-0.008597807,0.993140027,1,64.51018802,61.59786114,73.39252173,73.84871683,43.0005426,40.02116863,32.06366808,42.97454688,8864,8881,9847,4835,2780,3120,2271,1682
PRSS35,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAP91,1.89347471,-2.924497734,1.74155516,-1.494394033,0.13507266,0.394402055,0.007277774,0.006935915,0.014906575,0,0.030935642,0.051309191,0,0.025549671,1,1,2,0,2,4,0,1
RIPPLY2,111.797959,2.000997589,0.538316119,3.119114282,0.001813956,0.012707648,1.309999305,2.621775871,4.934076306,4.139193849,0.077339105,0.731155965,0.240018651,0.510993423,180,378,662,271,5,57,17,20
CYB5R4,1039.914989,-0.304116408,0.288677453,0,1,1,9.664883765,10.64662953,21.48037449,25.96542267,8.136073887,9.222827002,9.148946243,11.93169643,1328,1535,2882,1700,526,719,648,467
MRAP2,0.056110413,-1.271290583,3.533811541,-0.268651137,0.788198157,,0.007277774,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CEP162,164.9124886,0.317373749,0.346391065,0,1,1,2.700054124,2.489993486,4.404892895,3.436600059,0.804326696,0.628537584,1.708368048,1.941775008,371,359,591,225,52,49,121,76
TBX18,62.11294863,-0.507838439,0.510836479,-0.363933181,0.715907907,1,0.531277496,0.38841124,1.334138457,1.527377804,0.247485137,0.410473524,0.917718373,0.996437175,73,56,179,100,16,32,65,39
NT5E,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNX14,522.4473185,-0.071829148,0.27106074,0,1,1,9.89777253,8.253738854,10.5314952,6.857926341,4.083504764,3.707089018,3.600279771,6.566265487,1360,1190,1413,449,264,289,255,257
SYNCRIP,1949.599036,-0.386084537,0.28315433,-0.226577649,0.820752174,1,24.3878204,23.04110964,36.02173835,37.40548242,10.14689063,12.64771547,23.07002803,31.19614848,3351,3322,4833,2449,656,986,1634,1221
HTR1E,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGA,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF292,1495.617237,-0.486958923,0.30633047,-0.538734615,0.590069985,1,17.28471306,30.63593657,15.69662341,22.83429817,13.39513305,18.53544509,11.6903202,13.72017341,2375,4417,2106,1495,866,1445,828,537
GJB7,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMIM8,313.2557632,0.237399799,0.328642969,0,1,1,4.832441882,4.480601092,7.065716523,7.95763836,2.01081674,3.796880101,2.004861677,1.584079612,664,646,948,521,130,296,142,62
C6orf163,5.392937846,-2.264442076,1.349417786,-1.439520066,0.150003229,0.425261577,0.007277774,0.034679575,0.037266437,0.061095112,0,0.192409465,0.112949954,0,1,5,5,4,0,15,8,0
SLC35A1,173.9659045,0.247122586,0.430463395,0,1,1,3.274998264,4.015894787,2.258346104,3.543516506,1.129150939,1.667548693,0.43768107,2.120622706,450,579,303,232,73,130,31,83
RARS2,1439.776595,-0.171610733,0.252886272,0,1,1,22.31365484,19.4621775,24.37970332,30.02824763,11.18323464,16.3034953,8.259465358,14.81880927,3066,2806,3271,1966,723,1271,585,580
ORC3,701.9855247,0.019864201,0.180937772,0,1,1,11.49888279,12.83837867,12.2532046,13.02853267,4.825960176,6.298203141,5.463954006,6.694013842,1580,1851,1644,853,312,491,387,262
AKIRIN2,1499.989966,-0.315531964,0.243934319,0,1,1,20.66160016,20.45401334,24.64802167,29.18818984,11.38431631,19.72838377,11.19616415,12.69818656,2839,2949,3307,1911,736,1538,793,497
SPACA1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNR1,0.32503021,-2.713963104,3.533811541,-0.676899427,0.498469767,,0,0,0,0,0,0,0,0.025549671,0,0,0,0,0,0,0,1
RNGTT,327.7714613,0.258711231,0.269748623,0,1,1,5.261830544,5.389205957,8.765066066,5.972047214,1.840670708,2.308913575,3.670873492,2.171722048,723,777,1176,391,119,180,260,85
PNRC1,2427.013179,-0.451954725,0.336231686,-0.38671736,0.698965463,1,40.52992296,44.27888138,25.57222931,30.79193653,22.30459799,33.22270088,15.13529378,20.84853166,5569,6384,3431,2016,1442,2590,1072,816
SRSF12,0.054412828,-1.271290583,3.533811541,-0.268651137,0.788198157,,0,0.006935915,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PM20D2,6.126287115,-1.675767278,1.374636264,-0.984870848,0.324687514,0.720905902,0.101888835,0.006935915,0.067079587,0.030547556,0.015467821,0.012827298,0.296493628,0,14,1,9,2,1,1,21,0
GABRR1,2.131943902,-0.965647104,1.84433718,-0.34902458,0.727070856,1,0,0.048551405,0.022359862,0.030547556,0,0.051309191,0,0.051099342,0,7,3,2,0,4,0,2
GABRR2,8.785211479,-1.526475425,0.815603002,-1.47687947,0.139707949,0.403738143,0.058222191,0.131782385,0.052173012,0.061095112,0.154678211,0.064136488,0.070593721,0.127748356,8,19,7,4,10,5,5,5
UBE2J1,2815.195608,-0.737573858,0.244132391,-1.702542468,0.088653725,0.287239704,27.99031849,26.09291224,42.74460365,55.32162407,27.37804331,27.6813083,25.08900845,36.68932778,3846,3762,5735,3622,1770,2158,1777,1436
