gene_name,Ensembl_ID,outdegree_diff,rank_outdegree,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,logpvalue,rank_exp,chromvar_ave_diff,motif_name,rank_chromvar,TF_rank,,,,,,,,,,,,,,
MEF2D,ENSG00000116604,156.4168266,131,2391.224426,0.143828493,0.382565529,0.375957796,0.706948272,0.853588585,-0.150612363,214,0.933284515,MEF2D_M6342_1.02,256,601,,,,,,,,,,,,,,
GATA6,ENSG00000141448,274.8726838,87,419.6270823,-0.905673061,0.772372218,-1.172586274,0.240961756,0.486873916,-0.61805188,458,11.22268241,GATA6_M3334_1.02,57,602,,,,,,,,,,,,,,
IRX3,ENSG00000177508,134.7345398,145.5,987.4188124,0.894495226,0.881754538,1.014449246,0.310368436,0.559626834,-0.508122452,127,-0.908713625,IRX3_M6037_1.02,330.5,603,,,,,,,,,,,,,,
LCOR,ENSG00000196233,48.95299556,242,2177.324226,0.102850442,0.457777276,0.224673542,0.822233249,0.916282425,-0.085004966,231,4.693809219,LCOR_M1507_1.02,130,603,,,,,,,,,,,,,,
MECOM,ENSG00000085276,856.0091597,37,673.5055336,-1.509375871,0.970396961,-1.555421061,0.119845821,0.329487274,-0.921377104,514,11.94344843,MECOM_M3227_1.02,55,606,,,,,,,,,,,,,,
THRA,ENSG00000126351,90.03919898,185,1605.546626,-0.156050221,0.2983984,-0.522959308,0.601002571,0.787619379,-0.22112367,346,7.953935422,THRA_M6522_1.02,75,606,,,,,,,,,,,,,,
FOXP2,ENSG00000128573,1017.535601,32,328.1565899,-2.119279366,1.252025687,-1.69268042,0.090516314,0.279056588,-1.043273139,538,24.28081282,FOXP2_M2385_1.02,37,607,,,,,,,,,,,,,,
HOXC9,ENSG00000180806,159.3652239,129,88.28561606,1.629465394,0.970608271,1.678808479,0.093189376,0.283815411,-1.030633598,75,-2.873509745,HOXC9_M1003_1.02,403,607,,,,,,,,,,,,,,
NR5A2,ENSG00000116833,49.58137421,241,159.6846103,0.191881807,1.139175349,0.16843922,0.866237756,0.938955595,-0.062362891,239,4.81639199,NR5A2_M6396_1.02,128,608,,,,,,,,,,,,,,
NR1H4,ENSG00000012504,-15.2944076,355,4.656005981,5.208346471,1.464085722,3.557405413,0.000374536,0.006724179,-3.426506554,14,1.368888455,NR1H4_M6384_1.02,240,609,,,,,,,,,,,,,,
FOXF1,ENSG00000103241,1080.560732,28,1.735575466,-2.942489639,1.655343476,-1.777570445,0.075474431,0.250209288,-1.12220015,543,22.53211546,FOXF1_M3385_1.02,39,610,,,,,,,,,,,,,,
SMAD4,ENSG00000141646,105.1118019,172,2857.487133,0.129032053,0.435505265,0.296281269,0.767015289,0.886879036,-0.115195979,223,2.264533313,SMAD4_M6466_1.02,215,610,,,,,,,,,,,,,,
FOXD3,ENSG00000187140,1761.575781,11,106.1303198,-1.923907335,0.947724565,-2.030027928,0.042353701,0.177227876,-1.373108638,572,25.41083118,FOXD3_M5448_1.02,30.5,613.5,,,,,,,,,,,,,,
IRX5,ENSG00000176842,195.1307245,111,349.7723533,0.071452187,0.878824046,0.081304315,0.935199943,0.970061837,-0.029095528,251,1.005705846,IRX5_M5582_1.02,252,614,,,,,,,,,,,,,,
FOXK2,ENSG00000141568,742.1940922,45,5735.016366,-0.353809645,0.209892746,-1.685668758,0.091859618,0.281381445,-1.036875367,536,24.97460438,FOXK2_M0736_1.02,35,616,,,,,,,,,,,,,,
NR1I3,ENSG00000143257,64.56352775,215,41.60491164,0.111658194,0.481729828,0.231785925,0.81670429,0.913654591,-0.087935163,229,3.413765333,NR1I3_M6387_1.02,172,616,,,,,,,,,,,,,,
FOXP4,ENSG00000137166,1041.6558,31,4189.766966,-1.044376241,0.518920905,-2.012592344,0.044157533,0.181895017,-1.354995197,567,26.19108299,FOXP4_M0717_1.02,19.5,617.5,,,,,,,,,,,,,,
PROP1,ENSG00000175325,423.4003225,71,0.773398844,1.005399464,1.598744586,0.628868096,0.529435414,NA,-0.276187012,172,-2.205333621,PROP1_M5751_1.02,380,623,,,,,,,,,,,,,,
NR2F2,ENSG00000185551,3.471625418,325,3094.582811,0.314534559,0.716210275,0.439165103,0.660541909,0.825394936,-0.180099623,203,6.24523564,NR2F2_M4702_1.02,96,624,,,,,,,,,,,,,,
HES7,ENSG00000179111,-5.164326064,341,101.94235,3.024381755,0.982944119,3.076860318,0.002091933,0.023646565,-2.679452221,22,0.82147377,HES7_M5506_1.02,261,624,,,,,,,,,,,,,,
KMT2A,ENSG00000118058,35.45944114,261,1326.200306,0.540746957,0.586453789,0.922062348,0.356496055,0.603218366,-0.447945271,134,1.445476822,KMT2A_M0608_1.02,232,627,,,,,,,,,,,,,,
